id_transaksi,tanggal,nama_produk,kategori,jumlah_terjual,harga_satuan,nama_kasir,metode_pembayaran,pendapatan
TRX0032,2026-08-07,Roti Bakar,makanan,7.5,7000.0,Pak Agus,QRIS,52500.0
TRX0059,2026-08-14,Bakso,Makanan,11.0,11000.0,Bu Sri,Tunai,121000.0
TRX0055,2026-08-13,Teh Botol,Minuman,6.0,5000.0,Bu Sri,Tunai,30000.0
TRX0043,2026-08-11,Nasi Goreng,MAKANAN,1.0,8000.0,Bu Wati,QRIS,8000.0
TRX0029,2026-08-07,Nasi Uduk,Makanan,14.0,8000.0,Bu Sri,QRIS,112000.0
TRX0051,2026-08-12,Mie Ayam,makanan,7.5,10000.0,Bu Wati,Tunai,75000.0
TRX0060,2026-08-14,Kerupuk,Snack,5.0,2000.0,Pak Joko,QRIS,10000.0
TRX0006,2026-08-03,Nasi Goreng,Makanan,12.0,12000.0,Pak Agus,Transfer,144000.0
TRX0027,2026-08-07,Gorengan,Makanan,7.0,2000.0,Pak Agus,QRIS,14000.0
TRX0023,2026-08-06,Mie Ayam,Makanan,4.0,10000.0,Pak Joko,Tunai,40000.0
TRX0020,2026-08-06,Roti Bakar,Makanan,4.0,7000.0,Tidak Diketahui,QRIS,28000.0
TRX0062,2026-08-14,Es Teh,Minuman,4.0,3000.0,Pak Joko,Tunai,12000.0
TRX0022,2026-08-06,Es Teh,minuman,4.0,3000.0,Pak Joko,Tunai,12000.0
TRX0033,2026-08-10,Jus Alpukat,Minuman,1.0,8000.0,Bu Wati,Tunai,8000.0
TRX0010,2026-08-04,Keripik Singkong,snack,7.5,3000.0,Pak Joko,QRIS,22500.0
TRX0018,2026-08-05,Kerupuk,SNACK,9.0,2000.0,Tidak Diketahui,QRIS,18000.0
TRX0037,2026-08-10,Kerupuk,Snack,7.5,2000.0,Pak Agus,Tunai,15000.0
TRX0038,2026-08-10,Mie Ayam,MAKANAN,2.0,10000.0,Pak Joko,Transfer,20000.0
TRX0028,2026-08-07,Mie Ayam,MAKANAN,4.0,10000.0,Pak Joko,QRIS,40000.0
TRX0016,2026-08-05,Nasi Goreng,makanan,11.0,12000.0,Bu Sri,Transfer,132000.0
TRX0040,2026-08-11,Jus Alpukat,minuman,7.5,8000.0,Bu Wati,Tunai,60000.0
TRX0021,2026-08-06,Jus Alpukat,MINUMAN,13.0,8000.0,Pak Joko,QRIS,104000.0
TRX0009,2026-08-04,Bakso,Makanan,6.0,11000.0,Bu Wati,QRIS,66000.0
TRX0013,2026-08-04,Bakso,Makanan,5.0,11000.0,Pak Joko,QRIS,55000.0
TRX0001,2026-08-03,Mie Ayam,MAKANAN,1.0,10000.0,Bu Wati,QRIS,10000.0
TRX0063,2026-08-14,Keripik Singkong,Snack,9.0,3000.0,Pak Agus,Tunai,27000.0
TRX0065,2026-08-14,Es Jeruk,Minuman,8.0,4000.0,Bu Wati,QRIS,32000.0
TRX0044,2026-08-11,Es Teh,MINUMAN,9.0,3000.0,Bu Sri,Tunai,27000.0
TRX0039,2026-08-10,Nasi Uduk,makanan,6.0,8000.0,Bu Wati,QRIS,48000.0
TRX0030,2026-08-07,Nasi Goreng,Makanan,2.0,12000.0,Tidak Diketahui,QRIS,24000.0
TRX0049,2026-08-12,Es Teh,MINUMAN,14.0,3000.0,Bu Sri,QRIS,42000.0
TRX0064,2026-08-14,Kerupuk,Snack,9.0,2000.0,Bu Wati,QRIS,18000.0
TRX0050,2026-08-12,Roti Bakar,MAKANAN,500.0,7000.0,Pak Joko,QRIS,3500000.0
TRX0056,2026-08-13,Jus Alpukat,MINUMAN,3.0,8000.0,Pak Joko,QRIS,24000.0
TRX0024,2026-08-06,Nasi Uduk,Makanan,1.0,8000.0,Bu Sri,Tunai,8000.0
TRX0053,2026-08-13,Teh Botol,minuman,9.0,5000.0,Bu Sri,QRIS,45000.0
TRX0041,2026-08-11,Jus Alpukat,minuman,3.0,8000.0,Bu Wati,Tunai,24000.0
TRX0058,2026-08-13,Kerupuk,SNACK,6.0,2000.0,Pak Agus,QRIS,12000.0
TRX0036,2026-08-10,Jus Alpukat,MINUMAN,7.5,8000.0,Bu Wati,QRIS,60000.0
TRX0002,2026-08-03,Jus Alpukat,Minuman,2.0,8000.0,Pak Agus,Tunai,16000.0
